PowerId,Name,Description,IsDivine,SkillTreeName,Tier,MaximumLevel,RoleId,DeityId,Challenge,Duration,Type
94,Regeneration,"At the beginning of each Initiative Round, you heal 1 HP.",1,Protection,1,3,NULL,5,"Healing 6","2X Initiative Rounds","Minor Power (Blessing)"
95,"War Cry","You and allies within 3X’ get +1 bonus dice on their next Attack Test.",1,Chaos,2,3,NULL,5,"Invocation 7",NULL,"Major Power"
96,"Chaotic Wave","All enemies within Short Range must pass a Challenge 7+X Willpower test or become Knocked Down. Any enemy that passes must pay 1 extra AP on their next action.",1,Chaos,2,3,NULL,5,"Sorcery 8",NULL,"Glorious Power"
97,"Necrotic Wound","Whenever you deal damage to an enemy, it gets Curse: You take 1 damage at the beginning of each of your activations.",1,Death,2,1,NULL,5,"Invocation 8",Combat,"Major Power (Curse)"
98,"Blinding Plague","Target gets Curse: You get -X to your Attack Scores.",1,Death,2,3,NULL,5,"Sorcery 7","X Initiative Rounds","Major Power (Curse)"
99,"Remove Curse","At level 1, can remove an enemy curse on yourself or an ally within 3’. Opposed Test is against the Spell Score. Level 2 gives +1 to your Score, Level 3 gives +2 instead.",1,Protection,2,3,NULL,5,"Healing Opposed",NULL,"Minor Power"
100,"Soul Shield","Reduce non-Magical damage done to you by X, to a minimum of 1.",1,Protection,2,2,NULL,5,"Invocation 9","2 Initiative Rounds","Major Power"
101,"Underworld Ascension","As an additional cost to use this power, pay 1 Faith Point. Summon an Utukku. It is armed with a magical bronze axe and magical bronze armor",1,Chaos,3,3,NULL,5,"Sorcery 11","X+1 Initiative Rounds","Glorious Power"
102,"Furious Assault","When you attack, rolls of 5 or 6 count towards Critical Hits.",1,Chaos,3,2,NULL,5,"Invocation 9","X+1 Initiative Rounds","Major Power (Blessing)"
103,"Plague Wind","All living beings (except yourself) within 10X’ take 3+X Divine damage and get Curse: At the beginning of each of your activations, roll 1D3. You take that much Divine Damage.",1,Death,3,2,NULL,5,"Sorcery 10","X+1 Activations","Glorious Power"
104,"Metal Rot","Target within 30’ wearing Armor loses X in their Armor Rating.",1,Death,3,2,NULL,5,"Sorcery 9",NULL,"Major Power (Curse)"
105,"Divine Toughness","All non-magical damage you take is reduced to 0.",1,Protection,3,1,NULL,5,"Invocation 10","1 Initiative Round","Glorious Power (Blessing)"
106,"Underworld Intervention","You and all allies within 10X’ can’t suffer negative effects or be affected by Curses.",1,Protection,3,2,NULL,5,"Invocation 10",Combat,"Glorious Power (Blessing)"
107,Shrivel,"Target within 30’ gets -X Strength.",1,Change,1,3,NULL,6,"Sorcery 6","1 Initiative Round","Minor Power (Curse)"
108,"Protection from Poison","You can’t be poisoned.",1,Change,1,2,NULL,6,NULL,"1 Day (1 Week at Level 2)","Minor Power (Blessing)"
109,"Alter Shield","You get +X to your Defense Score.",1,Change,1,3,NULL,6,"Invocation 8","1 Initiative Round","Major Power (Blessing)"
110,"Summon Minor Golem","Summons an allied Minor Golem within 3’ of you.",1,Creation,1,3,NULL,6,"Invocation 7","1+X Initiative Rounds","Glorious Power"
111,"Create Sustenance","Creates X portions of Water or Rations. They can’t be sold.",1,Creation,1,3,NULL,6,"Healing 5",NULL,"Minor Power"
112,Wellspring,"Creates a pool of pure water that lasts for 30X Minutes. It has a circumference of up to 10’ and up to 2’ deep.",1,Creation,1,2,NULL,6,"Invocation 6",NULL,"Minor Power"
113,"Heal Wounds","You or an ally within 15’ regains X+1 HP.",1,Nurture,1,4,NULL,6,"Healing 6",NULL,"Minor Power"
114,"Remove Curse","At level 1, can remove a Curse on yourself or an ally within 3’. Opposed Test is against the Spell Score. Level 2 gives +1, Level 3 gives +2.",1,Nurture,1,3,NULL,6,"Healing Opposed",NULL,"Minor Power"
115,"Summon Lesser Animal","Summons X allied Lesser Animals.",1,Nurture,1,2,NULL,6,"Animals 7","1+X Initiative Rounds","Major Power"
116,"Alter Speed","Target within 30’ gets +2X SPD.",1,Change,2,2,NULL,6,"Sorcery 8","1 Initiative Round","Minor Power (Blessing)"
117,"Warp Body","Target within sight gets X Curses from this list: -1 SPD, -1 AGI, -1 RES, -1 Action Point. Each option may only be chosen once.",1,Change,2,4,NULL,6,"Sorcery 9","Duration: X Initiative Rounds","Major Power"
118,"Summon Golem","Summons an allied Golem within 3’ of you.",1,Creation,2,3,NULL,6,"Invocation 9","1+X Initiative Rounds","Glorious Power"
119,"Magic Link","Whenever you cast a Divine Power, it costs 1 AP less, to the minimum of 1.",1,Creation,2,2,NULL,6,"Invocation 8","X+2 Activations","Major Power (Blessing)"
120,"Sustainer of Life","Whenever you get a Critical Power, you regain 3 Health.",1,Creation,2,1,NULL,6,NULL,NULL,Passive
121,"Abundant Growth","Target within sight gets X benefits from this list: +1 SPD, +1 STR, +1 RES, +1 Action Point. Each option may only be chosen once.",1,Nurture,2,4,NULL,6,"Sorcery 8","X+1 Initiative Rounds","Major Power (Blessing)"
122,"Healing Aura","You and all allies within 10’ regain X HP.",1,Nurture,2,3,NULL,6,"Healing 9",NULL,"Major Power"
123,"Eye of Mortality","Target within 30’ gets: “At the beginning of each of your activations, halve your health (round down each time).”",1,Change,3,3,NULL,6,"Sorcery 11","X Activations","Glorious Power (Curse)"
124,"Morph Body","You get +X to any Characteristic.",1,Change,3,2,NULL,6,"Sorcery 12",Session,"Glorious Power (Blessing)"
125,"Summon Grand Golem","Summons an allied Grand Golem within 3’ of you.",1,Creation,3,2,NULL,6,"Invocation 11","X Initiative Rounds","Glorious Power"
126,"Locus of Life","Summons 2D3 allied Lions or 2D6 allied Lesser Animals",1,Creation,3,3,NULL,6,"Invocation 12","X Initiative Rounds","Glorious Power"
127,Revive,"Choose an unconscious ally. It is no longer unconscious, and has all Status Effects removed. In addition, it regains 2X Health.",1,Nurture,3,3,NULL,6,"Healing 10",NULL,"Major Power"
128,Resurrection,"Choose a dead ally. It is no longer dead, and has all Status Effects removed. It has 1 Health.",1,Nurture,3,1,NULL,6,"Healing 12",NULL,"Glorious Power"
129,Levitation,"You can Hover 7’.",1,"The Sun",1,4,NULL,7,"Invocation 8","X Initiative Rounds","Minor Power (Blessing)"
130,"Blazing Weapon","Your currently equipped weapon becomes a flaming weapon. It deals an additional X Fire Damage.",1,"The Sun",1,3,NULL,7,"Invocation 7","2+X Initiative Rounds","Glorious Power (Blessing)"
131,"Blind Enemy","Must be outside. Target gets: “Halve all dice when Attacking.”",1,"The Sun",1,2,NULL,7,"Invocation 7","X Initiative Rounds","Minor Power (Curse)"
132,Smite,"Choose a target within 25’. It takes 2+X Fire Damage.",1,Justice,1,3,NULL,7,"Invocation 8",NULL,"Major Power"
133,"Punish the Wicked","An Evil target within 6’ gets -X to its next non-defense Skill Test.",1,Justice,1,3,NULL,7,"Invocation 7",NULL,"Minor Power"
134,"Sense Evil","You automatically pass Perception tests to detect Evil beings within 20’.",1,Justice,1,1,NULL,7,NULL,NULL,Passive
135,"Sense Deception","Those trying to lie or influence you get -2 to their Social Scores.",1,Justice,1,1,NULL,7,NULL,NULL,Passive
136,"Aura of Righteousness","All enemies within 30’ must pass a Challenge 8+X Willpower test or count you as Fearsome.",1,Aid,1,3,NULL,7,"Invocation 6",Combat,"Major Power (Blessing)"
137,"Heal Wounds","You or an ally within 3’ regains X+1 HP.",1,Aid,1,3,NULL,7,"Healing 5",NULL,"Minor Power"
138,"Remove Curse","At level 1, remove an enemy curse on yourself or an ally within 3’. Level 2 gives +1 to your Score.",1,Aid,1,2,NULL,7,"Healing 6",NULL,"Minor Power"
139,Immolate,"Deal X+1 Fire Damage to all enemies within 3’.",1,"The Sun",2,3,NULL,7,"Invocation 8",NULL,"Major Power"
140,"Shamash’s Light","When you ask for light, you illuminate an area twice as large.",1,"The Sun",2,1,NULL,7,NULL,NULL,Passive
141,"Tempestuous Weapon","Whenever your weapon deals damage, push that target back 2X’. It’s Knocked Down if you got a Critical Hit or Damage.",1,"The Sun",2,3,NULL,7,"Invocation 9","2+X Initiative Rounds","Glorious Power (Blessing)"
142,"Damage Reflection","Whenever you take Damage, a target enemy within 3’ takes X Divine Damage.",1,Justice,2,2,NULL,7,NULL,"1 Initiative Round","Minor Power (Blessing)"
143,"Shamash’s Recompense","When you ask for justice, the target takes an additional X Fire Damage.",1,Justice,2,2,NULL,7,NULL,NULL,Passive
144,"Holy Weapon","Your weapon deals 2X additional Divine damage to Evil targets.",1,Justice,2,3,NULL,7,"Invocation 9","2+X Initiative Rounds","Glorious Power (Blessing)"
145,"Inspire Hope","Allies within line of sight can’t be affected by Status Effects. In addition, they don’t fall Unconscious if they reach 0 or less Health.",1,Aid,2,3,NULL,7,"Leadership 8",NULL,"Major Power (Blessing)"
146,"Shamash’s Compassion","When you ask for aid, you instead regain 4+X health. ",1,Aid,2,2,NULL,7,NULL,NULL,Passive
147,"Divine Toughness","All non-magical damage you take is reduced to 0.",1,Aid,2,2,NULL,7,"Invocation 10","3+X Activations","Glorious Power (Blessing)"
148,"Summon Flaming Chariot","You summon a flaming chariot with a Charioteer. This counts as a chariot, except all damage from it does fire damage. Level 2 gives a Scorpion Man Archer that also rides the chariot. You can mount the Chariot as a Free Action.",1,"The Sun",3,3,NULL,7,"Invocation 12","X+1 Initiative Rounds","Glorious Power"
149,"Banishing Weapon","Your weapon deals Magical Damage. Whenever your weapon deals damage to a Spirit or Demon, it must pass a Challenge 10+X Willpower Test. For each point it fails by, it takes 1 Divine damage.",1,Justice,3,3,NULL,7,"Invocation 11","2+X Initiative Rounds","Glorious Power (Blessing)"
150,Invulnerability,"All damage you take is reduced to 0.",1,Aid,3,2,NULL,7,"Invocation 11","X Initiative Rounds","Glorious Power (Blessing)"
151,"Shamash’s Grace","No ally can go below 1 HP unless already at 1 HP when this Power was cast.",1,Aid,3,1,NULL,7,"Invocation 10","1 Initiative Round","Major Power (Blessing)"
152,"Kill Shot","When using a Ranged Weapon, you get +X to your Damage Score.",0,"The Game",1,2,2,NULL,NULL,NULL,Passive
153,Aim,"You get +X to your Attack Score on your next attack against a declared target you are aiming at. You may use this power once per Activation. The bonus stacks until after an attack is made or a different target is chosen to Aim at.",0,"The Game",1,2,2,NULL,NULL,NULL,"Minor Action (Tactical)"
154,"Far Sight","You count Extreme Long Range as Long Range at Level 1. At Level 2, they both count as Medium Range. At Level 3, get +1 to your Attack Scores with Ranged Weapons.",0,"The Game",1,3,2,NULL,NULL,NULL,Passive
155,"He’s Fast!","X times per session, you may substitute SPD for STR when determining AP.",0,"The Game",2,2,2,NULL,NULL,NULL,Passive
156,"Rapid Shot","You may use the Multiple Attack Action with a Ranged weapon at the cost of 1 additional AP. At level 2, there is no additional cost. You use one ammo per target.",0,"The Game",2,2,2,NULL,NULL,NULL,Passive
157,"Predator’s Eye","Prereqs: Aim 1, Far Sight 1 - Whenever you Aim, you always count your target as being in Short Range unless they are at Extreme Long Range.",0,"The Game",2,1,2,NULL,NULL,NULL,Passive
158,"Hit The Ground Running","When determining Initiative, add D3 to your Score. At Level 2, add D6 instead.",0,"The Game",2,2,2,NULL,NULL,NULL,Passive
159,"Where’d He Go?","Prereq: He’s Fast! 1 - You can now always substitute SPD for STR when determining AP.",0,"The Game",3,1,2,NULL,NULL,NULL,Passive
160,"Pinning Shot","Attack an enemy. If you deal damage, it is Pinned as if from a Wrestle check with a Challenge Rating of 8+X.",0,"The Game",3,2,2,NULL,NULL,NULL,"Full Attack Action (Ranged)"
161,"Piercing Shot","Attack an enemy, and increase the Piercing of the Arrow by X. A Critical Hit or Damage permanently reduces the Target’s Armor by X.",0,"The Game",3,2,2,NULL,NULL,NULL,"Full Attack Action (Ranged)"
